Issuer,Symbol,Manager1,IPOPrice,OpenPrice,ClosePrice,PxChng,OpeningChng,Ratings,Performed
Nebula Acquisition ,NEBUU,Deutsche Bank,10,10.03,10.02,0.2,0.03,1,
Industrial Logistics Properties Trust ,ILPT,UBS Investment Bank,24,23.7,23.35,-2.71,-0.3,1,
Liberty Oilfield Services ,LBRT,Morgan Stanley,17,21.2,21.75,27.94,4.2,2,
Platinum Eagle Acquisition ,EAGLU,Deutsche Bank,10,10.06,10.01,0.1,0.06,1,
PagSeguro Digital Ltd. ,PAGS,Goldman Sachs,21.5,28.2,29.2,35.81,6.7,3,
Eyenovia  ,EYEN,Ladenburg Thalmann,10,10,9.92,-0.8,0,1,
Gates Industrial Corporation plc ,GTES,Citigroup,19,19.05,18.5,-2.63,0.05,1,
Menlo Therapeutics ,MNLO,Jefferies,17,20.5,28.71,68.88,3.5,2,
ARMO BioSciences ,ARMO,Jefferies,17,28,29.74,74.94,11,2,
PlayAGS ,AGS,Credit Suisse,16,14,18.5,15.63,-2,1,
resTORbio ,TORC,BofA Merrill Lynch,15,18.62,16.58,10.53,3.62,2,
MTech Acquisition ,MTECU,EarlyBirdCapital,10,10.01,10.07,0.7,0.01,1,
One Stop Systems ,OSS,Roth Capital Partners,5,5.55,4.88,-2.4,0.55,1,
Hudson Ltd. ,HUD,Credit Suisse,19,17.95,17.6,-7.37,-1.05,2,Missed
FTS International ,FTSI,Credit Suisse,18,19,20.61,14.5,1,3,
Cactus ,WHD,Citigroup,19,21.1,20.25,6.58,2.1,2,
Evolus ,EOLS,Cantor,12,11.2,11.5,-4.17,-0.8,1,
Huami Corporation ,HMI,Credit Suisse,11,12,11.25,2.27,1,1,
Mudrick Capital Acquisition ,MUDSU,Cantor,10,10,10,0,0,1,
Cardlytics ,CDLX,BofA Merrill Lynch,13,12.1,13.37,2.85,-0.9,2,Missed
Quintana Energy Services ,QES,BofA Merrill Lynch,10,9,9,-10,-1,1,
Leo Holdings ,LHC.U,Citigroup,10,10,9.93,-0.7,0,1,
Motus GI Holdings ,MOTS,Piper Jaffray,5,5,4.38,-12.4,0,1,
DFB Healthcare Acquisitions (DFBHU) (u),DFBHU,Goldman Sachs,10,10,10,0,0,1,
Union Acquisition ,LTN.U,Ladenburg Thalmann,10,10.01,10.01,0.1,0.01,1,
BioXcel Therapeutics ,BTAI,Barclays,11,11.02,11.03,0.27,0.02,1,
Opes Acquisition ,OPESU,EarlyBirdCapital,10,10.03,10.02,0.2,0.03,1,
Arcus Biosciences ,RCUS,Citigroup,15,20,17,13.33,5,3,
Tiberius Acquisition ,TIBRU,Cantor,10,10.01,10.02,0.2,0.01,1,
Zscaler ,ZS,Morgan Stanley,16,27.5,33,106.25,11.5,3,
Dropbox ,DBX,Goldman Sachs,21,29,28.48,35.62,8,3,
GreenTree Hospitality Group ,GHG,Morgan Stanley,14,14.4,13,-7.14,0.4,1,
Bilibili ,BILI,Morgan Stanley,11.5,9.8,11.24,-2.26,-1.7,3,Missed
Homology Medicines ,FIXX,BofA Merrill Lynch,16,23,18.66,16.63,7,3,
OneSmart International Education Group ,ONE,Morgan Stanley,11,11,10.8,-1.82,0,1,
Unum Therapeutics ,UMRX,Morgan Stanley,12,11.75,11.11,-7.42,-0.25,2,Missed
Zuora ,ZUO,Goldman Sachs,14,20,20,42.86,6,3,
